technique_id,technique_name,platforms,tactics,data_components_referenced,data_components_with_any_evidence,data_components_with_exact_event_evidence,data_components_source_only,component_evidence_coverage_pct,exact_event_component_coverage_pct,telemetry_evidence_status,evidence_sources
T1110.004,Credential Stuffing,Containers | ESXi | IaaS | Identity Provider | Linux | Network Devices | Office Suite | SaaS | Windows | macOS,credential-access,1,1,1,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1111,Multi-Factor Authentication Interception,Linux | Windows | macOS,credential-access,6,6,6,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1112,Modify Registry,Windows,defense-impairment | persistence,2,2,2,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1113,Screen Capture,Linux | Windows | macOS,collection,2,2,2,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1114,Email Collection,Linux | Office Suite | Windows | macOS,collection,7,7,7,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1114.001,Local Email Collection,Windows,collection,4,4,4,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1114.002,Remote Email Collection,Office Suite | Windows,collection,4,4,4,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1114.003,Email Forwarding Rule,Linux | Office Suite | Windows | macOS,collection,5,5,4,1,100.0,80.0,full_component_evidence,BOTS | EVTX
T1115,Clipboard Data,Linux | Windows | macOS,collection,2,2,2,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1119,Automated Collection,IaaS | Linux | Office Suite | SaaS | Windows | macOS,collection,5,5,5,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1120,Peripheral Device Discovery,Linux | Windows | macOS,discovery,4,4,4,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1123,Audio Capture,Linux | Windows | macOS,collection,5,5,5,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1124,System Time Discovery,ESXi | Linux | Network Devices | Windows | macOS,discovery,11,11,9,2,100.0,81.818182,full_component_evidence,BOTS | EVTX
T1125,Video Capture,Linux | Windows | macOS,collection,9,9,7,2,100.0,77.777778,full_component_evidence,BOTS | EVTX
T1127,Trusted Developer Utilities Proxy Execution,Windows,execution | stealth,5,5,4,1,100.0,80.0,full_component_evidence,BOTS | EVTX
T1127.001,MSBuild,Windows,execution | stealth,8,8,7,1,100.0,87.5,full_component_evidence,BOTS | EVTX
T1127.002,ClickOnce,Windows,execution | stealth,3,3,2,1,100.0,66.666667,full_component_evidence,BOTS | EVTX
T1127.003,JamPlus,Windows,execution | stealth,4,4,3,1,100.0,75.0,full_component_evidence,BOTS | EVTX
T1129,Shared Modules,Linux | Windows | macOS,execution,7,7,5,2,100.0,71.428571,full_component_evidence,BOTS | EVTX
T1132,Data Encoding,ESXi | Linux | Windows | macOS,command-and-control,5,5,4,1,100.0,80.0,full_component_evidence,BOTS | EVTX
T1132.001,Standard Encoding,ESXi | Linux | Windows | macOS,command-and-control,6,6,4,2,100.0,66.666667,full_component_evidence,BOTS | EVTX
T1132.002,Non-Standard Encoding,ESXi | Linux | Windows | macOS,command-and-control,6,6,4,2,100.0,66.666667,full_component_evidence,BOTS | EVTX
T1133,External Remote Services,Containers | Linux | Windows | macOS,initial-access | persistence,5,5,4,1,100.0,80.0,full_component_evidence,BOTS | EVTX
T1134,Access Token Manipulation,Windows,privilege-escalation | stealth,5,5,5,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1134.001,Token Impersonation/Theft,Windows,privilege-escalation | stealth,3,3,3,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1134.002,Create Process with Token,Windows,privilege-escalation | stealth,5,5,5,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1134.003,Make and Impersonate Token,Windows,privilege-escalation | stealth,3,3,3,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1134.004,Parent PID Spoofing,Windows,privilege-escalation | stealth,3,3,2,1,100.0,66.666667,full_component_evidence,BOTS | EVTX
T1134.005,SID-History Injection,Windows,privilege-escalation | stealth,3,3,3,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1135,Network Share Discovery,Linux | Windows | macOS,discovery,6,6,5,1,100.0,83.333333,full_component_evidence,BOTS | EVTX
T1136,Create Account,Containers | ESXi | IaaS | Identity Provider | Linux | Network Devices | Office Suite | SaaS | Windows | macOS,persistence,5,5,5,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1136.001,Local Account,Containers | ESXi | Linux | Network Devices | Windows | macOS,persistence,4,4,4,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1136.002,Domain Account,Linux | Windows | macOS,persistence,5,5,5,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1136.003,Cloud Account,IaaS | Identity Provider | Office Suite | SaaS,persistence,4,3,3,0,75.0,75.0,partial_component_evidence,BOTS | EVTX
T1137,Office Application Startup,Office Suite | Windows,persistence,5,5,5,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1137.001,Office Template Macros,Office Suite | Windows,persistence,5,5,5,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1137.002,Office Test,Office Suite | Windows,persistence,5,5,5,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1137.003,Outlook Forms,Office Suite | Windows,persistence,4,4,4,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1137.004,Outlook Home Page,Office Suite | Windows,persistence,4,4,4,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1137.005,Outlook Rules,Office Suite | Windows,persistence,4,4,4,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1137.006,Add-ins,Office Suite | Windows,persistence,6,6,6,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1140,Deobfuscate/Decode Files or Information,ESXi | Linux | Windows | macOS,stealth,4,4,4,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1176,Software Extensions,Linux | Windows | macOS,persistence,6,6,5,1,100.0,83.333333,full_component_evidence,BOTS | EVTX
T1176.001,Browser Extensions,Linux | Windows | macOS,persistence,7,7,6,1,100.0,85.714286,full_component_evidence,BOTS | EVTX
T1176.002,IDE Extensions,Linux | Windows | macOS,persistence,4,4,3,1,100.0,75.0,full_component_evidence,BOTS | EVTX
T1185,Browser Session Hijacking,Windows,collection,7,7,7,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1187,Forced Authentication,Windows,credential-access,4,4,2,2,100.0,50.0,full_component_evidence,BOTS | EVTX
T1189,Drive-by Compromise,Identity Provider | Linux | Windows | macOS,initial-access,9,9,8,1,100.0,88.888889,full_component_evidence,BOTS | EVTX
T1190,Exploit Public-Facing Application,Containers | ESXi | IaaS | Linux | Network Devices | Windows | macOS,initial-access,6,6,4,2,100.0,66.666667,full_component_evidence,BOTS | EVTX
T1195,Supply Chain Compromise,Linux | SaaS | Windows | macOS,initial-access,7,7,6,1,100.0,85.714286,full_component_evidence,BOTS | EVTX
T1195.001,Compromise Software Dependencies and Development Tools,Linux | Windows | macOS,initial-access,7,7,6,1,100.0,85.714286,full_component_evidence,BOTS | EVTX
T1195.002,Compromise Software Supply Chain,Linux | Windows | macOS,initial-access,8,8,7,1,100.0,87.5,full_component_evidence,BOTS | EVTX
T1195.003,Compromise Hardware Supply Chain,Linux | Windows | macOS,initial-access,5,5,5,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1197,BITS Jobs,Windows,execution | persistence | stealth,4,4,4,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1199,Trusted Relationship,IaaS | Identity Provider | Linux | Office Suite | SaaS | Windows | macOS,initial-access,5,5,4,1,100.0,80.0,full_component_evidence,BOTS | EVTX
T1200,Hardware Additions,Linux | Windows | macOS,initial-access,8,8,6,2,100.0,75.0,full_component_evidence,BOTS | EVTX
T1201,Password Policy Discovery,IaaS | Identity Provider | Linux | Network Devices | Office Suite | SaaS | Windows | macOS,discovery,4,4,4,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1202,Indirect Command Execution,Windows,stealth,3,3,3,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1203,Exploitation for Client Execution,Linux | Windows | macOS,execution,7,7,6,1,100.0,85.714286,full_component_evidence,BOTS | EVTX
T1204,User Execution,Containers | IaaS | Linux | Windows | macOS,execution,11,9,6,3,81.818182,54.545455,partial_component_evidence,BOTS | EVTX
T1204.001,Malicious Link,Linux | Windows | macOS,execution,4,4,3,1,100.0,75.0,full_component_evidence,BOTS | EVTX
T1204.002,Malicious File,Linux | Windows | macOS,execution,3,3,3,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1204.003,Malicious Image,Containers | IaaS,execution,8,6,2,4,75.0,25.0,partial_component_evidence,BOTS | EVTX
T1204.004,Malicious Copy and Paste,Linux | Windows | macOS,execution,5,5,4,1,100.0,80.0,full_component_evidence,BOTS | EVTX
T1204.005,Malicious Library,Linux | Windows | macOS,execution,5,5,4,1,100.0,80.0,full_component_evidence,BOTS | EVTX
T1205,Traffic Signaling,Linux | Network Devices | Windows | macOS,command-and-control | persistence | stealth,5,5,3,2,100.0,60.0,full_component_evidence,BOTS | EVTX
T1205.001,Port Knocking,Linux | Network Devices | Windows | macOS,command-and-control | persistence | stealth,3,3,2,1,100.0,66.666667,full_component_evidence,BOTS | EVTX
T1205.002,Socket Filters,Linux | Windows | macOS,command-and-control | persistence | stealth,6,6,5,1,100.0,83.333333,full_component_evidence,BOTS | EVTX
T1207,Rogue Domain Controller,Windows,defense-impairment,5,5,3,2,100.0,60.0,full_component_evidence,BOTS | EVTX
T1210,Exploitation of Remote Services,ESXi | Linux | Windows | macOS,lateral-movement,7,7,6,1,100.0,85.714286,full_component_evidence,BOTS | EVTX
T1211,Exploitation for Stealth,IaaS | Linux | SaaS | Windows | macOS,stealth,3,3,3,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1212,Exploitation for Credential Access,Identity Provider | Linux | Windows | macOS,credential-access,4,4,4,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1213,Data from Information Repositories,IaaS | Linux | Office Suite | SaaS | Windows | macOS,collection,8,8,6,2,100.0,75.0,full_component_evidence,BOTS | EVTX
T1213.001,Confluence,SaaS,collection,3,3,2,1,100.0,66.666667,full_component_evidence,BOTS | EVTX
T1213.002,Sharepoint,Office Suite | Windows,collection,3,3,2,1,100.0,66.666667,full_component_evidence,BOTS | EVTX
T1213.003,Code Repositories,SaaS,collection,3,3,2,1,100.0,66.666667,full_component_evidence,BOTS | EVTX
T1213.004,Customer Relationship Management Software,SaaS,collection,2,2,2,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1213.005,Messaging Applications,Office Suite | SaaS,collection,2,2,2,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1213.006,Databases,IaaS | Linux | SaaS | Windows | macOS,collection,8,8,5,3,100.0,62.5,full_component_evidence,BOTS | EVTX
T1216,System Script Proxy Execution,Windows,stealth,5,5,5,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1216.001,PubPrn,Windows,stealth,4,4,4,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1216.002,SyncAppvPublishingServer,Windows,stealth,4,4,4,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1217,Browser Information Discovery,Linux | Windows | macOS,discovery,4,4,4,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1218,System Binary Proxy Execution,Linux | Windows | macOS,stealth,3,3,3,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1218.001,Compiled HTML File,Windows,stealth,4,4,4,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1218.002,Control Panel,Windows,stealth,4,4,4,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1218.003,CMSTP,Windows,stealth,7,7,7,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1218.004,InstallUtil,Windows,stealth,4,4,4,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1218.005,Mshta,Windows,stealth,3,3,3,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1218.007,Msiexec,Windows,stealth,3,3,3,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1218.008,Odbcconf,Windows,stealth,3,3,3,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1218.009,Regsvcs/Regasm,Windows,stealth,7,7,7,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1218.010,Regsvr32,Windows,stealth,3,3,3,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1218.011,Rundll32,Windows,stealth,4,4,4,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1218.012,Verclsid,Windows,stealth,4,4,4,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1218.013,Mavinject,Windows,stealth,6,6,6,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1218.014,MMC,Windows,stealth,8,8,8,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1218.015,Electron Applications,Linux | Windows | macOS,stealth,4,4,4,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1219,Remote Access Tools,Linux | Windows | macOS,command-and-control,6,6,6,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1219.001,IDE Tunneling,Linux | Windows | macOS,command-and-control,3,3,3,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1219.002,Remote Desktop Software,Linux | Windows | macOS,command-and-control,4,4,3,1,100.0,75.0,full_component_evidence,BOTS | EVTX
T1219.003,Remote Access Hardware,Linux | Windows | macOS,command-and-control,1,1,0,1,100.0,0.0,full_component_evidence,BOTS | EVTX
T1220,XSL Script Processing,Windows,stealth,2,2,2,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1221,Template Injection,Windows,stealth,2,2,2,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1222,File and Directory Permissions Modification,ESXi | Linux | Windows | macOS,defense-impairment,5,5,5,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1222.001,Windows Permissions,Windows,defense-impairment,6,6,5,1,100.0,83.333333,full_component_evidence,BOTS | EVTX
T1222.002,Linux and Mac Permissions,Linux | macOS,defense-impairment,4,4,4,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1480,Execution Guardrails,ESXi | Linux | Windows | macOS,stealth,11,11,10,1,100.0,90.909091,full_component_evidence,BOTS | EVTX
T1480.001,Environmental Keying,Linux | Windows | macOS,stealth,8,8,7,1,100.0,87.5,full_component_evidence,BOTS | EVTX
T1480.002,Mutual Exclusion,Linux | Windows | macOS,stealth,5,5,5,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1482,Domain Trust Discovery,Windows,discovery,5,5,5,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1484,Domain or Tenant Policy Modification,Identity Provider | Windows,defense-impairment | privilege-escalation,5,5,5,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1484.001,Group Policy Modification,Windows,defense-impairment | privilege-escalation,5,5,5,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1484.002,Trust Modification,Identity Provider | Windows,defense-impairment | privilege-escalation,5,5,5,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1485,Data Destruction,Containers | ESXi | IaaS | Linux | Windows | macOS,impact,7,7,5,2,100.0,71.428571,full_component_evidence,BOTS | EVTX
T1485.001,Lifecycle-Triggered Deletion,IaaS,impact,1,1,0,1,100.0,0.0,full_component_evidence,BOTS
T1486,Data Encrypted for Impact,ESXi | IaaS | Linux | Windows | macOS,impact,5,5,4,1,100.0,80.0,full_component_evidence,BOTS | EVTX
T1489,Service Stop,ESXi | IaaS | Linux | Windows | macOS,impact,6,6,6,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1490,Inhibit System Recovery,Containers | ESXi | IaaS | Linux | Network Devices | Windows | macOS,impact,7,7,5,2,100.0,71.428571,full_component_evidence,BOTS | EVTX
T1491,Defacement,ESXi | IaaS | Linux | Windows | macOS,impact,6,6,4,2,100.0,66.666667,full_component_evidence,BOTS | EVTX
T1491.001,Internal Defacement,ESXi | Linux | Windows | macOS,impact,7,7,7,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1491.002,External Defacement,IaaS | Linux | Windows | macOS,impact,7,7,4,3,100.0,57.142857,full_component_evidence,BOTS | EVTX
T1495,Firmware Corruption,Linux | Network Devices | Windows | macOS,impact,4,4,2,2,100.0,50.0,full_component_evidence,BOTS | EVTX
T1496,Resource Hijacking,Containers | IaaS | Linux | SaaS | Windows | macOS,impact,8,8,4,4,100.0,50.0,full_component_evidence,BOTS | EVTX
T1496.001,Compute Hijacking,Containers | IaaS | Linux | Windows | macOS,impact,8,7,4,3,87.5,50.0,partial_component_evidence,BOTS | EVTX
T1496.002,Bandwidth Hijacking,Containers | IaaS | Linux | Windows | macOS,impact,5,5,2,3,100.0,40.0,full_component_evidence,BOTS | EVTX
T1496.003,SMS Pumping,SaaS,impact,2,2,2,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1496.004,Cloud Service Hijacking,SaaS,impact,3,3,2,1,100.0,66.666667,full_component_evidence,BOTS | EVTX
T1497,Virtualization/Sandbox Evasion,Linux | Windows | macOS,discovery | stealth,3,3,3,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1497.001,System Checks,Linux | Windows | macOS,discovery | stealth,3,3,3,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1497.002,User Activity Based Checks,Linux | Windows | macOS,discovery | stealth,6,6,6,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1497.003,Time Based Checks,Linux | Windows | macOS,discovery | stealth,4,4,4,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1498,Network Denial of Service,Containers | IaaS | Linux | Windows | macOS,impact,3,3,2,1,100.0,66.666667,full_component_evidence,BOTS | EVTX
T1498.001,Direct Network Flood,IaaS | Linux | Windows | macOS,impact,4,4,3,1,100.0,75.0,full_component_evidence,BOTS | EVTX
T1498.002,Reflection Amplification,IaaS | Linux | Windows | macOS,impact,6,6,4,2,100.0,66.666667,full_component_evidence,BOTS | EVTX
T1499,Endpoint Denial of Service,Containers | IaaS | Linux | Windows | macOS,impact,5,5,3,2,100.0,60.0,full_component_evidence,BOTS | EVTX
T1499.001,OS Exhaustion Flood,Linux | Windows | macOS,impact,4,4,2,2,100.0,50.0,full_component_evidence,BOTS | EVTX
T1499.002,Service Exhaustion Flood,IaaS | Linux | Windows | macOS,impact,7,7,4,3,100.0,57.142857,full_component_evidence,BOTS | EVTX
T1499.003,Application Exhaustion Flood,IaaS | Linux | Windows | macOS,impact,5,5,3,2,100.0,60.0,full_component_evidence,BOTS | EVTX
T1499.004,Application or System Exploitation,IaaS | Linux | Windows | macOS,impact,6,6,4,2,100.0,66.666667,full_component_evidence,BOTS | EVTX
T1505,Server Software Component,ESXi | Linux | Network Devices | Windows | macOS,persistence,6,6,4,2,100.0,66.666667,full_component_evidence,BOTS | EVTX
T1505.001,SQL Stored Procedures,Linux | Windows,persistence,3,3,3,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1505.002,Transport Agent,Linux | Windows,persistence,6,6,6,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1505.003,Web Shell,Linux | Network Devices | Windows | macOS,persistence,5,5,4,1,100.0,80.0,full_component_evidence,BOTS | EVTX
T1505.004,IIS Components,Windows,persistence,6,6,5,1,100.0,83.333333,full_component_evidence,BOTS | EVTX
T1505.005,Terminal Services DLL,Windows,persistence,4,4,4,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1505.006,vSphere Installation Bundles,ESXi,persistence,3,3,3,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1518,Software Discovery,ESXi | IaaS | Linux | Windows | macOS,discovery,4,4,3,1,100.0,75.0,full_component_evidence,BOTS | EVTX
T1518.001,Security Software Discovery,IaaS | Linux | Windows | macOS,discovery,3,3,3,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1518.002,Backup Software Discovery,Linux | Windows | macOS,discovery,4,4,4,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1525,Implant Internal Image,Containers | IaaS,persistence,3,3,0,3,100.0,0.0,full_component_evidence,BOTS
T1526,Cloud Service Discovery,IaaS | Identity Provider | Office Suite | SaaS,discovery,3,3,2,1,100.0,66.666667,full_component_evidence,BOTS | EVTX
T1528,Steal Application Access Token,Containers | IaaS | Identity Provider | Office Suite | SaaS,credential-access,6,6,3,3,100.0,50.0,full_component_evidence,BOTS | EVTX
T1529,System Shutdown/Reboot,ESXi | Linux | Network Devices | Windows | macOS,impact,3,3,3,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1530,Data from Cloud Storage,IaaS | Office Suite | SaaS,collection,4,4,2,2,100.0,50.0,full_component_evidence,BOTS | EVTX
T1531,Account Access Removal,ESXi | IaaS | Linux | Office Suite | SaaS | Windows | macOS,impact,5,5,4,1,100.0,80.0,full_component_evidence,BOTS | EVTX
T1534,Internal Spearphishing,Linux | Office Suite | SaaS | Windows | macOS,lateral-movement,7,7,6,1,100.0,85.714286,full_component_evidence,BOTS | EVTX
T1535,Unused/Unsupported Cloud Regions,IaaS,stealth,4,4,2,2,100.0,50.0,full_component_evidence,BOTS | EVTX
T1537,Transfer Data to Cloud Account,IaaS | Office Suite | SaaS,exfiltration,7,7,1,6,100.0,14.285714,full_component_evidence,BOTS | EVTX
T1538,Cloud Service Dashboard,IaaS | Identity Provider | Office Suite | SaaS,discovery,4,4,3,1,100.0,75.0,full_component_evidence,BOTS | EVTX
T1539,Steal Web Session Cookie,Linux | Office Suite | SaaS | Windows | macOS,credential-access,7,7,7,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1542,Pre-OS Boot,Linux | Network Devices | Windows | macOS,persistence | stealth,7,7,5,2,100.0,71.428571,full_component_evidence,BOTS | EVTX
T1542.001,System Firmware,Network Devices | Windows,persistence | stealth,5,5,3,2,100.0,60.0,full_component_evidence,BOTS | EVTX
T1542.002,Component Firmware,Linux | Windows | macOS,persistence | stealth,2,2,1,1,100.0,50.0,full_component_evidence,BOTS | EVTX
T1542.003,Bootkit,Linux | Windows,persistence | stealth,4,4,3,1,100.0,75.0,full_component_evidence,BOTS | EVTX
T1542.004,ROMMONkit,Network Devices,persistence | stealth,3,3,2,1,100.0,66.666667,full_component_evidence,BOTS | EVTX
T1542.005,TFTP Boot,Network Devices,persistence | stealth,3,3,2,1,100.0,66.666667,full_component_evidence,BOTS | EVTX
T1543,Create or Modify System Process,Containers | Linux | Windows | macOS,persistence | privilege-escalation,6,5,5,0,83.333333,83.333333,partial_component_evidence,BOTS | EVTX
T1543.001,Launch Agent,macOS,persistence | privilege-escalation,4,4,4,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1543.002,Systemd Service,Linux,persistence | privilege-escalation,5,5,5,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1543.003,Windows Service,Windows,persistence | privilege-escalation,4,4,4,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1543.004,Launch Daemon,macOS,persistence | privilege-escalation,4,4,4,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1543.005,Container Service,Containers,persistence | privilege-escalation,4,3,2,1,75.0,50.0,partial_component_evidence,BOTS | EVTX
T1546,Event Triggered Execution,IaaS | Linux | Office Suite | SaaS | Windows | macOS,persistence | privilege-escalation,10,10,7,3,100.0,70.0,full_component_evidence,BOTS | EVTX
T1546.001,Change Default File Association,Windows,persistence | privilege-escalation,3,3,3,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1546.002,Screensaver,Windows,persistence | privilege-escalation,2,2,2,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1546.003,Windows Management Instrumentation Event Subscription,Windows,persistence | privilege-escalation,3,3,2,1,100.0,66.666667,full_component_evidence,BOTS | EVTX
T1546.004,Unix Shell Configuration Modification,Linux | macOS,persistence | privilege-escalation,3,3,2,1,100.0,66.666667,full_component_evidence,BOTS | EVTX
T1546.005,Trap,Linux | macOS,persistence | privilege-escalation,3,3,3,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1546.006,LC_LOAD_DYLIB Addition,macOS,persistence | privilege-escalation,3,3,3,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1546.007,Netsh Helper DLL,Windows,persistence | privilege-escalation,3,3,3,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1546.008,Accessibility Features,Windows,persistence | privilege-escalation,4,4,4,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1546.009,AppCert DLLs,Windows,persistence | privilege-escalation,3,3,3,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1546.010,AppInit DLLs,Windows,persistence | privilege-escalation,3,3,3,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1546.011,Application Shimming,Windows,persistence | privilege-escalation,4,4,4,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1546.012,Image File Execution Options Injection,Windows,persistence | privilege-escalation,4,4,4,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1546.013,PowerShell Profile,Windows,persistence | privilege-escalation,4,4,4,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1546.014,Emond,macOS,persistence | privilege-escalation,4,4,4,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1546.015,Component Object Model Hijacking,Windows,persistence | privilege-escalation,3,3,3,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1546.016,Installer Packages,Linux | Windows | macOS,persistence | privilege-escalation,2,2,2,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1546.017,Udev Rules,Linux,persistence | privilege-escalation,3,3,3,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1546.018,Python Startup Hooks,Linux | Windows | macOS,persistence | privilege-escalation,4,4,3,1,100.0,75.0,full_component_evidence,BOTS | EVTX
T1547,Boot or Logon Autostart Execution,Linux | Network Devices | Windows | macOS,persistence | privilege-escalation,5,5,5,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1547.001,Registry Run Keys / Startup Folder,Windows,persistence | privilege-escalation,3,3,3,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1547.002,Authentication Package,Windows,persistence | privilege-escalation,2,2,2,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1547.003,Time Providers,Windows,persistence | privilege-escalation,4,4,4,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1547.004,Winlogon Helper DLL,Windows,persistence | privilege-escalation,4,4,4,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1547.005,Security Support Provider,Windows,persistence | privilege-escalation,3,3,3,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1547.006,Kernel Modules and Extensions,Linux | macOS,persistence | privilege-escalation,5,5,4,1,100.0,80.0,full_component_evidence,BOTS | EVTX
T1547.007,Re-opened Applications,macOS,persistence | privilege-escalation,4,4,4,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1547.008,LSASS Driver,Windows,persistence | privilege-escalation,6,6,6,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1547.009,Shortcut Modification,Windows,persistence | privilege-escalation,4,4,4,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1547.010,Port Monitors,Windows,persistence | privilege-escalation,5,5,5,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1547.012,Print Processors,Windows,persistence | privilege-escalation,4,4,4,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1547.013,XDG Autostart Entries,Linux,persistence | privilege-escalation,5,5,5,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1547.014,Active Setup,Windows,persistence | privilege-escalation,4,4,4,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1547.015,Login Items,macOS,persistence | privilege-escalation,4,4,4,0,100.0,100.0,full_component_evidence,BOTS | EVTX
